,,,,,TVÖD Pflege,,,,,,,,BT-V Soz. & Erz. Dienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,P09,,,P08,,,P07,,,S18,,,S17,,,S16,,,S15,,,S14,,,S13,,,S12,,,S11B,,,S10,,,S09,,,S08B,,,S08A,,,S03,,,S02,,,,TVÖD,,Summe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEST,,,,
0102,"GESCHÄFTSFÜHRUNG FÜR POLITISCHE GREMIEN, STÄDTEPARTNERSCHAFTEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,"15,69",,
0103,"OB, BM UND VERWALTUNGSFÜHRUNG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,"44,33",,
0104,GLEICHSTELLUNG ALLER GESCHLECHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,00",,
0105,PERSONAL- UND SCHWERBEHINDERTEN- VERTRETUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,48",,,,,,,,,,,,,,,,,,,,,,,,"8,00",,
0106,WIRTSCHAFTLICHKEITS- PRÜFUNG UND REVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,"7,82",,
0107,PUBLIC RELATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,63",,
0108,PERSONAL- UND ORGANISATIONS- MANAGEMENT,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,18",,
0109,FINANZ- UND BETEILIGUNGS- MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,30",,
0110,RECHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,75",,
0111,IMMOBILIENMANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,"233,46",,
0113,ZENTRALE DIENSTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,82",,
0114,STIFTUNGSMANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,00",,
0116,MIGRATIONS- UND INTEGRATIONS- MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,50",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,98",,
,,Summen: Produktbereich 01,,,"0,00",,,"0,00",,,"0,00",,,"1,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"1,00",,,"2,50",,,"0,48",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"4,00",,,"523,96",
,,Innere Verwaltung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0201,ORDNUNGSRECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,88",,
0202,GEWERBERECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,43",,
0203,STRAßENVERKEHRS- RECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,93",,
0204,BÜRGERANGELEGENHEITEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,84",,
0205,STANDESAMTS- ANGELEGENHEITEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,50",,
